OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Tongue_mean	Other_mean	Lip_mean	Gingiva_mean	Cheek_mean	taxonomy
1	13.469026169	0.00919752776613	0.710163359297	1.0	8.309975	8.3664	2.8976	6.90843333333	0.0	1__Eukaryota; 2__Basidiomycota; 3__Basidiomycota_u; 4__Basidiomycota_u_u; 5__Basidiomycota_u_u_u; 6__Basidiomycota_u_u_u_u; 7__Basidiomycota_u_u_u_u_u
120	12.0463442876	0.0170099441577	0.710163359297	1.0	1.394075	0.0	11.057	2.99437142857	8.6003	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Alteromonadales; 5__Alteromonadaceae; 6__Marinobacter; 7__Marinobacter_u
391	11.4779874214	0.0216861147178	0.710163359297	1.0	0.0	1.73022	4.7445	0.563242857143	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas fluorescens
150	11.2523272214	0.0238698859904	0.710163359297	1.0	4.3204625	5.00004	0.0	1.71626666667	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Microbacteriaceae; 6__Pseudoclavibacter; 7__Pseudoclavibacter_u
231	10.9289337474	0.0273744186296	0.710163359297	1.0	0.0	2.54424	6.5129	2.2769952381	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonadaceae_u; 7__Pseudomonadaceae_u_u
272	10.6175494917	0.0312157262487	0.710163359297	1.0	1.0114125	4.09336	3.7973	1.30240952381	0.0	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Empedobacter; 7__Empedobacter falsenii
84	10.5297450425	0.0323897170722	0.710163359297	1.0	4.574425	6.62298	3.7973	7.04964761905	0.0	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidetes_u; 4__Bacteroidetes_u_u; 5__Bacteroidetes_u_u_u; 6__Bacteroidetes_u_u_u_u; 7__Bacteroidetes_u_u_u_u_u
183	10.3324633632	0.0351847060221	0.710163359297	1.0	2.7012875	5.35516	0.0	1.57638095238	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Microbacteriaceae; 6__Pseudoclavibacter; 7__Pseudoclavibacter faecalis
218	10.290529695	0.0358080336992	0.710163359297	1.0	0.321625	4.03864	5.5286	1.72465238095	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas aeruginosa
176	10.0110032362	0.0402427412631	0.710163359297	1.0	0.5501875	3.79404	0.0	3.2806047619	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Comamonadaceae; 6__Curvibacter; 7__Curvibacter gracilis
104	9.69045626234	0.0459775287692	0.710163359297	1.0	4.652775	5.90528	4.7445	6.46751904762	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Betaproteobacteria_u; 5__Betaproteobacteria_u_u; 6__Betaproteobacteria_u_u_u; 7__Betaproteobacteria_u_u_u_u
90	9.28856348591	0.0542778642775	0.710163359297	1.0	2.50665	5.2286	8.1542	4.4813047619	9.406	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Staphylococcaceae; 6__Staphylococcus; 7__Staphylococcus_u
16	9.0251572327	0.0604737365861	0.710163359297	1.0	0.0	1.36576	4.7445	0.668219047619	0.0	1__Eukaryota; 2__Ascomycota; 3__Eurotiomycetes; 4__Eurotiales; 5__Aspergillaceae; 6__Penicillium; 7__Penicillium_u
76	8.86564779065	0.0645467932045	0.710163359297	1.0	7.7686375	9.2395	9.5245	9.20167142857	7.604	1__Bacteria; 2__Proteobacteria; 3__Proteobacteria_u; 4__Proteobacteria_u_u; 5__Proteobacteria_u_u_u; 6__Proteobacteria_u_u_u_u; 7__Proteobacteria_u_u_u_u_u
106	8.62993986254	0.0710449448027	0.710163359297	1.0	6.0757625	7.47876	6.7902	5.05956666667	0.0	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Brevibacteriaceae; 6__Brevibacterium; 7__Brevibacterium_u
1002	8.61626335436	0.0714403992581	0.710163359297	1.0	9.959525	10.86266	5.8842	10.0650952381	6.6114	1__Prophage; 2__Firmicutes prophage; 3__Bacilli prophage; 4__Lactobacillales prophage; 5__Streptococcaceae prophage; 6__Streptococcus prophage; 7__Streptococcus pneumoniae
131	8.59606210426	0.0720283274748	0.710163359297	1.0	2.511475	5.33126	8.1542	4.38674285714	7.3424	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Moraxellaceae; 6__Acinetobacter; 7__Acinetobacter_u
335	8.47987616099	0.0754995638978	0.710163359297	1.0	0.0	1.79522	4.3473	1.01697619048	0.0	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Aerococcaceae; 6__Aerococcus; 7__Aerococcus_u
414	8.33353689567	0.0800966688476	0.710163359297	1.0	0.0	2.05226	0.0	0.56149047619	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas plecoglossicida
