OTU	Test-Statistic	P	FDR_P	Bonferroni_P	OL_mean	OSCC_mean	PVL_mean	CTRL_mean	taxonomy
100	26.2732417151	8.36007736746e-06	0.00262506429338	0.00262506429338	0.0	7.89027857143	5.5458	6.5735	1__Bacteria; 2__Bacteroidetes; 3__Chitinophagia; 4__Chitinophagales; 5__Chitinophagaceae; 6__Sediminibacterium; 7__Sediminibacterium sp. OR53
73	23.2729340587	3.54239114002e-05	0.00556155408983	0.0111231081797	4.26427	9.22639285714	7.51526	7.587125	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Phyllobacteriaceae; 6__Mesorhizobium; 7__Mesorhizobium_u
96	21.7318994607	7.41694436275e-05	0.00776306843301	0.023289205299	0.0	7.53024285714	5.88049	5.6086	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Burkholderiales_n; 6__Aquabacterium; 7__Aquabacterium sp. NJ1
251	18.9162453569	0.000284519811867	0.0223348052315	0.0893392209262	4.91529	1.02717857143	1.00118	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas sp. CBZ-4
97	18.090499014	0.000421344526832	0.0231262239264	0.132302181425	3.14576	7.8798	6.38513	6.5412	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Bradyrhizobiaceae; 6__Bradyrhizobiaceae_u; 7__Bradyrhizobiaceae_u_u
217	17.7310026892	0.000499761252877	0.0231262239264	0.156925033403	0.0	4.41117142857	3.4687	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Comamonadaceae; 6__Pelomonas; 7__Pelomonas_u
46	17.6654407779	0.00051555276269	0.0231262239264	0.161883567485	9.82426	2.49614285714	3.39897	1.197525	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas fluorescens
149	17.0914077354	0.000676798644749	0.0247359448171	0.212514774451	4.47858	0.4501	0.95643	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Oxalobacteraceae; 6__Herbaspirillum; 7__Herbaspirillum sp. RV1423
30	16.993288821	0.000708992048899	0.0247359448171	0.222623503354	11.97225	3.04924285714	3.95616	2.304225	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Oxalobacteraceae; 6__Herbaspirillum; 7__Herbaspirillum autotrophicum
287	16.6643479781	0.000828432847432	0.0260127914094	0.260127914094	0.0	3.78802142857	1.2429	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Burkholderiales_n; 6__Aquabacterium; 7__Aquabacterium parvum
24	15.9810710768	0.00114416242505	0.0278002479056	0.359267001465	14.9847	7.79238571429	8.50644	6.568125	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas_u
215	15.8235474846	0.00123245839334	0.0278002479056	0.386991935508	0.0	5.01790714286	3.51795	3.07635	1__Bacteria; 2__Bacteroidetes; 3__Chitinophagia; 4__Chitinophagales; 5__Chitinophagaceae; 6__Chitinophagaceae_u; 7__Chitinophagaceae_u_u
62	15.6480514353	0.00133881327567	0.0278002479056	0.42038736856	7.94921	2.04212142857	2.40846	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Oxalobacteraceae; 6__Oxalobacteraceae_u; 7__Oxalobacteraceae_u_u
75	15.5983383887	0.00137056310568	0.0278002479056	0.430356815183	5.46694	8.74228571429	7.72907	7.40575	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Bradyrhizobiaceae; 6__Bradyrhizobium; 7__Bradyrhizobium_u
182	15.4592851993	0.00146339502695	0.0278002479056	0.459506038461	0.0	4.96664285714	4.06533	3.40925	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Burkholderiales_n; 6__Aquabacterium; 7__Aquabacterium_u
33	15.2476824838	0.00161676608569	0.0278002479056	0.507664550905	11.53054	5.32367857143	6.15147	4.31025	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Gammaproteobacteria_u; 5__Gammaproteobacteria_u_u; 6__Gammaproteobacteria_u_u_u; 7__Gammaproteobacteria_u_u_u_u
286	15.2194738628	0.00163838164737	0.0278002479056	0.514451837275	0.0	3.84165	2.28988	2.454675	1__Bacteria; 2__Bacteroidetes; 3__Chitinophagia; 4__Chitinophagales; 5__Chitinophagaceae; 6__Hydrotalea; 7__Hydrotalea flava
67	15.2184826675	0.00163914636821	0.0278002479056	0.514691959618	8.66212	2.10192857143	2.39147	2.282975	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas sp. Ag1
56	15.0542746415	0.00177085004608	0.0278002479056	0.556046914469	8.52953	2.54587857143	3.47519	0.0	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Oxalobacteraceae; 6__Herbaspirillum; 7__Herbaspirillum_u
