OTU	Test-Statistic	P	FDR_P	Bonferroni_P	M_mean	F_mean	taxonomy
462	9.54946796468	0.00200007381182	0.375159181031	0.628023176911	1.63900714286	0.0	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas sp. RIT357
360	7.94849246231	0.00481274501439	0.375159181031	1.0	2.01998571429	0.232091666667	1__Bacteria; 2__Firmicutes; 3__Clostridia; 4__Clostridiales; 5__Lachnospiraceae; 6__Lachnoanaerobaculum; 7__Lachnoanaerobaculum_u
362	7.71267272262	0.00548345053813	0.375159181031	1.0	2.30161428571	0.52095	1__Bacteria; 2__Chlamydiae; 3__Chlamydiia; 4__Chlamydiales; 5__Chlamydiaceae; 6__Chlamydia; 7__Chlamydia psittaci
125	7.47645092677	0.00625111693778	0.375159181031	1.0	0.0	3.015075	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Empedobacter; 7__Empedobacter_u
59	7.4053791539	0.00650291367701	0.375159181031	1.0	6.12119285714	1.69524166667	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Micrococcaceae; 6__Rothia; 7__Rothia mucilaginosa
468	6.74943352986	0.00937774534364	0.375159181031	1.0	1.38005714286	0.146379166667	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Alcaligenaceae; 6__Achromobacter; 7__Achromobacter xylosoxidans
365	6.60045645412	0.0101952627715	0.375159181031	1.0	2.24006428571	0.595991666667	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Vibrionales; 5__Vibrionaceae; 6__Vibrio; 7__Vibrio vulnificus
407	6.504020241	0.010763085463	0.375159181031	1.0	1.62789285714	0.187175	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Enterobacteriales; 5__Enterobacteriaceae; 6__Klebsiella; 7__[Enterobacter] aerogenes
309	6.27318147328	0.012257885502	0.375159181031	1.0	2.02945714286	0.319	1__Bacteria; 2__Proteobacteria; 3__Epsilonproteobacteria; 4__Campylobacterales; 5__Helicobacteraceae; 6__Helicobacter; 7__Helicobacter pylori
478	6.0268277349	0.0140900334798	0.375159181031	1.0	1.41625714286	0.173575	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Prevotellaceae; 6__Prevotella; 7__Prevotella scopos
45	5.94079535911	0.0147943410245	0.375159181031	1.0	5.62444285714	8.99435833333	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Staphylococcaceae; 6__Staphylococcus; 7__Staphylococcus_u
187	5.86668352568	0.015430094444	0.375159181031	1.0	2.99851428571	0.893258333333	1__Bacteria; 2__Chlamydiae; 3__Chlamydiia; 4__Chlamydiales; 5__Waddliaceae; 6__Waddlia; 7__Waddlia chondrophila
494	5.85508951643	0.0155320680045	0.375159181031	1.0	1.49947142857	0.320925	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Bradyrhizobiaceae; 6__Bradyrhizobium; 7__Bradyrhizobium sp. URHA0002
245	5.4514145236	0.0195524891667	0.438534399881	1.0	2.23483571429	0.477020833333	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Sphingomonadales; 5__Sphingomonadaceae; 6__Sphingomonas; 7__Sphingomonas paucimobilis
58	4.91980716434	0.0265504804156	0.458026403811	1.0	0.615657142857	3.90030833333	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Empedobacter; 7__Empedobacter brevis
92	4.90471285186	0.0267835043872	0.458026403811	1.0	2.77569285714	0.201954166667	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Prevotellaceae; 6__Prevotella; 7__Prevotella multiformis
132	4.90471285186	0.0267835043872	0.458026403811	1.0	2.00677857143	0.1524375	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Aerococcaceae; 6__Abiotrophia; 7__Abiotrophia defectiva
437	4.67923930269	0.0305292645124	0.458026403811	1.0	1.25336428571	0.146379166667	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Pelagibacterales; 5__Pelagibacteraceae; 6__Candidatus Pelagibacter; 7__Candidatus Pelagibacter ubique
503	4.67923930269	0.0305292645124	0.458026403811	1.0	1.19187857143	0.1524375	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Streptococcaceae; 6__Streptococcus; 7__Streptococcus gordonii
33	4.64476153778	0.0311484644646	0.458026403811	1.0	9.25740714286	5.79120416667	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Gammaproteobacteria_u; 5__Gammaproteobacteria_u_u; 6__Gammaproteobacteria_u_u_u; 7__Gammaproteobacteria_u_u_u_u
22	4.48717948718	0.0341499763546	0.458026403811	1.0	13.3883857143	11.9775166667	1__Bacteria; 2__undetermined Bacteria; 3__undetermined Bacteria; 4__undetermined Bacteria; 5__undetermined Bacteria; 6__undetermined Bacteria; 7__undetermined Bacteria
374	4.45907101351	0.0347163730379	0.458026403811	1.0	1.34722142857	0.2003625	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Rhizobiales; 5__Phyllobacteriaceae; 6__Phyllobacterium; 7__Phyllobacterium sp. YR531
