Group	CTRL	CTRL	CTRL	CTRL	CTRL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL
Sample	C01	C02	C03	C04	C05	L01	L02	L03	L04	L05	L06	L07	L08	L09	L10	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	V01	V02	V03	V04	V05	V06	V07	V08	V09	V10
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Tannerella;Tannerella_u	0	0	31	3	375	46	4	112	13	657	64	13	26	16	0	0	25	626	56	0	0	1	0	9	1	953	139	1	955	2	203	0	0	9	213	58	38	0	1	74	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter;Aggregatibacter_u	15	0	6	40	113	1	0	6	1	73	0	14	117	5	0	3	11	0	0	1	0	1934	160	5	3	0	3	0	0	0	1	0	0	289	0	3	1242	2	1	40	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;Neisseria_u	8	17	67	87	85	137	37	0	31	124	0	0	85	522	268	63	75	99	0	98	4	18	758	5	0	0	0	65	0	0	7	0	12	156	292	1	640	66	105	0	8
k__Bacteria;p__Firmicutes;c__ Tissierellia;o__ Tissierellales;f__Tissierellaceae;g__Parvimonas;Parvimonas_u	0	1	46	2	33	149	4	41	6	79	0	15	12	9	8	10	22	0	352	209	42	1022	12	76	10	120	315	0	437	3	233	21	26	9	445	12	51	0	5	64	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella nigrescens	1	4	20	2	251	0	0	0	2	19	1	1	1	2	0	0	99	9	1731	52	0	488	0	95	9	0	638	0	189	1	38	39	0	92	0	138	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseria cinerea	80	141	2	0	4	4	0	0	47	4	0	2	1	66	0	11	2	0	0	0	2801	0	25	8	5	0	0	0	0	0	0	0	12	0	33	0	344	0	15	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__Gemellaceae_u;s__Gemellaceae_u_u	61	30	16	45	316	147	391	44	133	69	54	419	88	3	75	14	67	0	1	11	72	101	34	103	226	5	3	0	0	0	13	6	19	189	113	4	330	22	236	5	5
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;Corynebacterium_u	0	7	20	51	360	39	10	57	2	1067	1	0	141	10	120	0	124	0	0	0	0	0	0	75	18	1162	2	7	0	157	3	0	0	0	0	54	30	0	34	0	2
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_u	22	144	18	28	57	16	1	5	56	12	374	186	23	174	19	396	323	3	513	9	17	30	0	57	5	19	116	0	67	0	24	1	75	53	50	12	72	40	4	444	196
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidales_u;g__Bacteroidales_u_u;s__Bacteroidales_u_u_u	0	0	38	1	51	33	0	0	23	24	2	0	3	1	0	0	1	1	101	3	0	2	0	5	0	485	219	2	2114	1	3	0	0	19	5	10	34	0	2	0	0
