Group	CTRL	CTRL	CTRL	CTRL	CTRL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL
Sample	C01	C02	C03	C04	C05	L01	L02	L03	L04	L05	L06	L07	L08	L09	L10	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	V01	V02	V03	V04	V05	V06	V07	V08	V09	V10
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Actinobacillus;Actinobacillus_u	0	0	1	5	0	1	15	0	0	6	0	0	4	0	28	5	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	0	1	0	0	6	1	0	0	0	0	0	0	1	0	0	0	0	0	0	320	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Peptococcus;Peptococcus_u	0	3	0	4	87	0	0	135	1	18	0	1	0	10	3	4	5	0	7	0	0	0	0	0	0	0	14	0	0	0	36	0	0	6	3	29	6	0	1	57	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__[Mogibacteriaceae]_u;s__[Mogibacteriaceae]_u_u	0	1	5	0	0	7	5	27	3	3	2	1	24	2	0	0	6	0	28	0	1	3	0	9	0	16	78	0	107	0	14	0	0	2	0	0	7	0	3	1	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;Lactobacillus_u	0	0	1	335	5	2	1	0	0	0	0	0	4	0	2	1	7	0	0	0	0	0	0	9	11	0	0	0	24	0	0	6	0	0	0	0	0	0	0	0	3
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Kingella;Kingella_u	0	0	0	2	105	0	0	0	1	143	0	1	2	0	0	0	3	0	0	0	0	0	0	0	0	5	0	10	0	1	0	0	0	0	0	2	9	0	7	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__Neisseria oralis	3	0	4	3	72	0	0	0	128	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	20	0	1	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Johnsonella;s__Johnsonella ignava	0	6	0	0	48	0	0	0	5	39	0	0	0	0	0	0	0	36	0	0	0	0	0	0	2	31	0	0	163	0	5	0	0	0	0	0	1	0	0	3	0
k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__CW040_u;g__CW040_u_u;s__CW040_u_u_u	9	0	3	3	19	0	9	0	0	0	0	43	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	51	0	0	27	0
k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16;g__F16_u;s__F16_u_u	0	0	5	4	0	0	0	24	0	3	41	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	15	0	14	0	11	0	0	8	6	8	0	0	13	5	1
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__Pyramidobacter;s__Pyramidobacter piscolens	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	134	2	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	0	0	8	3	8	40	5	3	1	11	0	0	35	3	4	0	70	1	0	0	0	0	1	44	30	1	4	1	0	0	0	0	0	1	0	0	0	0	0	2	1
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__Mogibacterium;Mogibacterium_u	0	0	12	0	1	7	4	30	1	1	52	1	0	4	0	0	1	0	12	0	0	2	0	18	0	5	14	0	19	2	1	32	0	1	17	8	1	11	1	0	3
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Selenomonas;s__Selenomonas noxia	0	0	0	16	164	0	0	1	0	19	1	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	3	0	3	0	0	0	49	0	0	0	0	0
k__Bacteria;p__TM7;c__TM7-3;o__I025;f__Rs-045;g__Rs-045_u;s__Rs-045_u_u	0	0	21	3	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15	0	71	0	2	0	0	0	0	0	4	0	1	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium;Cardiobacterium_u	0	0	0	2	9	7	0	0	0	132	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	1	3	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_u;s__Ruminococcaceae_u_u	1	1	7	2	2	8	1	3	2	7	0	0	19	0	7	0	87	0	0	0	0	0	0	66	24	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Coriobacteriaceae_u;s__Coriobacteriaceae_u_u	0	0	1	12	7	0	0	1	0	1	0	0	0	0	0	0	12	0	54	0	0	0	0	29	6	13	0	1	13	0	5	196	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;Bacteroides_u	0	1	17	2	0	64	4	2	4	12	0	0	71	5	11	0	46	0	0	0	0	0	0	12	16	1	1	2	58	1	1	0	4	0	0	5	0	0	0	1	0
k__Bacteria;p__Firmicutes;c__Firmicutes_u;o__Firmicutes_u_u;f__Firmicutes_u_u_u;g__Firmicutes_u_u_u_u;s__Firmicutes_u_u_u_u_u	0	0	16	1	3	0	0	0	0	0	14	0	0	0	0	0	0	1	21	0	0	0	0	0	0	14	13	0	53	0	0	3	0	1	2	1	10	14	1	33	0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter rectus	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	117	0	0	0	0	0	0	0	2	0	0	0	0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__RF39_u;g__RF39_u_u;s__RF39_u_u_u	0	0	0	0	3	0	2	0	0	0	0	0	6	0	0	2	38	0	0	0	0	0	0	12	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium durum	0	2	0	8	89	131	0	0	0	25	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	1	0	0	0	0	0	1	10	0	48	0	1
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonadaceae_u;s__Sphingomonadaceae_u_u	1	0	0	0	3	36	0	0	0	0	0	0	15	0	4	0	11	0	0	0	0	0	0	75	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hylemonella;Hylemonella_u	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	106	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter;Enhydrobacter_u	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;Abiotrophia_u	2	0	18	0	2	0	0	10	6	1	1	2	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	156	5	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus anginosus	0	0	1	31	0	1	0	1	0	0	0	0	0	0	0	0	14	0	2	50	0	67	0	6	4	0	10	0	1	0	12	0	0	2	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomycetaceae_u;s__Actinomycetaceae_u_u	0	2	6	115	0	0	3	0	1	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	7	0	51	2	1	0	2	0	3	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	0	0	4	2	1	7	0	1	0	0	0	0	4	9	0	0	6	0	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium aureum	1	0	1	0	1	107	10	13	4	2	0	2	124	7	14	0	22	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas veronii	0	0	0	0	0	0	1	1	0	1	0	0	19	3	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Enterobacteriaceae_u;s__Enterobacteriaceae_u_u	0	2	1	0	0	10	0	0	0	0	0	0	4	0	0	0	2	0	0	25	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter lwoffii	0	0	0	1	0	2	0	1	0	1	0	0	3	0	0	0	13	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;Stenotrophomonas_u	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	8	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Propionivibrio;Propionivibrio_u	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	19	0	0	0	0	0	6	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter rhizosphaerae	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaetaceae_u;s__Spirochaetaceae_u_u	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	2	0	0	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula	0	0	0	3	0	3	2	0	1	0	8	8	10	0	8	6	2	0	0	0	0	0	0	1	0	1	0	1	3	1	1	9	0	2	6	0	4	8	35	2	7
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter;Marinobacter_u	0	0	0	1	0	12	2	0	0	1	0	0	3	0	0	0	15	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;Acinetobacter_u	0	0	2	0	0	2	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;Paracoccus_u	0	0	3	0	2	0	0	1	1	0	0	0	18	1	5	0	7	0	0	0	0	0	0	30	11	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella;Klebsiella_u	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__Streptophyta_u;g__Streptophyta_u_u;s__Streptophyta_u_u_u	0	8	12	13	3	0	0	7	3	1	0	2	4	3	0	0	49	0	0	0	0	1	0	38	27	0	0	1	0	0	0	7	1	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Ralstonia;Ralstonia_u	0	2	3	0	0	14	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacteriaceae_u;s__Methylobacteriaceae_u_u	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	48	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__Atopobium rimae	0	0	2	8	3	0	0	0	0	0	0	0	0	2	0	0	0	0	23	0	0	0	0	0	6	20	19	0	55	0	2	80	0	0	0	0	0	0	0	0	65
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacilli_u;f__Bacilli_u_u;g__Bacilli_u_u_u;s__Bacilli_u_u_u_u	0	2	0	0	0	5	0	2	3	0	5	4	9	0	6	0	12	0	0	0	0	0	0	8	4	0	0	0	0	0	0	36	0	0	5	0	7	8	25	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiales_u;g__Burkholderiales_u_u;s__Burkholderiales_u_u_u	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	23	0	1	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcaceae_u;s__Peptostreptococcaceae_u_u	1	0	0	1	5	24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	39	0	0	0	0	0	0	0	2	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;Sphingobium_u	0	0	2	0	0	0	0	0	0	0	0	0	9	1	2	0	1	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Pelomonas;s__Pelomonas puraquae	0	1	4	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas echinoides	0	0	1	0	1	0	2	4	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria;g__mitochondria_u;s__mitochondria_u_u	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum;s__Subdoligranulum variabile	0	2	3	1	0	1	0	0	0	1	0	0	7	0	1	1	28	0	0	0	0	0	0	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;Aerococcus_u	0	0	0	0	2	20	1	2	1	2	0	2	60	0	1	0	12	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;Blautia_u	0	0	2	0	0	2	0	0	0	0	0	0	7	0	0	0	44	1	0	0	0	0	2	20	8	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__ Tissierellia;o__ Tissierellales;f__Tissierellaceae;g__Tissierellaceae_u;s__Tissierellaceae_u_u	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0	91	4	0	0	0	14	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;Oscillospira_u	0	0	3	2	1	12	1	0	0	0	0	0	0	0	2	0	13	0	0	0	0	0	0	16	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;Lachnospira_u	0	1	3	1	0	3	0	4	0	0	0	0	8	1	1	0	42	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__GN02;c__BD1-5;o__BD1-5_u;f__BD1-5_u_u;g__BD1-5_u_u_u;s__BD1-5_u_u_u_u	0	1	0	0	2	0	0	0	0	13	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium kroppenstedtii	0	0	2	0	1	0	0	1	0	0	0	0	0	0	195	0	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia dentocariosa	0	0	1	1	1	10	1	2	0	1	4	8	9	1	26	0	19	0	0	0	0	0	0	2	18	0	0	19	0	0	1	3	3	0	4	8	0	3	30	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners	0	0	2	0	10	5	0	0	0	6	0	0	17	0	0	3	10	0	0	0	0	0	0	7	3	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__ [Ruminococcus] gnavus	0	0	1	0	0	9	0	1	0	4	0	0	14	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__ [Ruminococcus] torques	0	0	0	0	0	8	2	2	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;Ruminococcus_u	0	0	1	0	0	1	2	0	0	0	0	0	7	0	0	0	5	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;Lactococcus_u	0	0	0	1	0	0	0	0	0	4	0	0	7	0	1	0	0	0	0	0	0	0	0	27	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus bromii	0	0	0	0	0	3	3	0	0	0	0	0	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc;Leuconostoc_u	1	3	1	0	1	3	0	1	1	0	0	0	0	1	0	0	9	0	0	0	0	0	0	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcaceae_u;s__Aerococcaceae_u_u	0	0	0	0	2	0	0	2	4	1	0	0	12	0	4	0	13	0	0	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__Brachybacterium conglomeratum	2	0	1	0	1	44	7	4	1	0	0	0	52	1	23	0	17	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;Enterococcus_u	0	1	2	0	0	1	2	0	1	1	0	0	18	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Wautersiella;Wautersiella_u	0	0	5	0	0	31	1	1	0	1	0	1	13	3	2	0	1	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae;g__SHD-231;SHD_u	0	0	1	0	0	15	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	22	0	0	13	0	0	0	0	0	0	0	7	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus equorum	0	0	0	0	0	12	1	0	0	0	0	0	17	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__ Tissierellia;o__ Tissierellales;f__Tissierellaceae;g__Peptoniphilus;Peptoniphilus_u	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	19	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillales_u;g__Lactobacillales_u_u;s__Lactobacillales_u_u_u	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	1	0	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;Brevibacterium_u	0	0	2	0	2	25	4	5	0	1	0	0	72	1	7	0	0	0	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Janibacter;Janibacter_u	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetales_u;g__Actinomycetales_u_u;s__Actinomycetales_u_u_u	0	0	1	1	10	59	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	2	11	3	0	0	0	0	0	0	0	1	1	12
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Pseudoclavibacter;s__Pseudoclavibacter bifida	0	0	4	0	0	29	0	3	0	0	1	0	53	0	5	0	18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__ Tissierellia;o__ Tissierellales;f__Tissierellaceae;g__Anaerococcus;Anaerococcus_u	0	0	0	0	0	4	0	0	0	0	0	0	7	2	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium;Mycobacterium_u	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	1	0	17	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;Rothia_u	0	0	0	0	0	4	0	0	0	1	7	2	3	0	16	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	2	1	0	12	0	0	2	27	0	0
k__Bacteria;p__Firmicutes;c__ Tissierellia;o__ Tissierellales;f__Tissierellaceae;g__Finegoldia;Finegoldia_u	0	0	2	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	0	0	0	0	1	8	1	0	1	1	0	0	8	0	2	0	7	0	0	0	0	0	0	16	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
