Group	CTRL	CTRL	CTRL	CTRL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OL	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL	PVL
Sample	C01	C02	C03	C04	L01	L02	L03	L04	L05	L06	L07	L08	L09	L10	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S15	S16	V01	V02	V03	V04	V05	V06	V07	V08	V09	V10
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus_u	0	1	0	0	0	0	0	0	556	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	2	0	0	2562	0	0	0	0	0	0	2	1	1
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas aeruginosa	0	2	5	0	2	7	0	3	0	5	1	2393	1	1	2	1	0	5	19	32	583	0	12	0	0	0	0	0	0	0	2	0	1	2	0	0	0	1
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. TKP	0	0	0	0	0	15	19	0	43	18	1077	114	602	166	0	0	0	1	168	19	0	8	168	0	0	0	0	0	0	0	0	0	0	0	0	0	16	67
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Herbaspirillum|Herbaspirillum_u	0	0	0	0	233	85	40	0	453	3	84	645	179	5	0	0	0	0	62	128	1	4	72	0	0	0	0	0	0	0	0	0	0	37	2	1	11	154
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Empedobacter|Empedobacter brevis	0	0	37	0	0	0	7	0	0	0	0	3	0	1	0	0	0	0	0	13	0	0	8	0	33	136	1213	587	8	19	0	1	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia|Rothia mucilaginosa	0	5	0	0	123	3	2	0	3	2	287	0	0	23	0	0	0	0	0	0	0	0	118	39	0	0	0	0	0	1	0	1	51	167	96	1076	1	0
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Mycobacteriaceae|Mycobacterium|Mycobacterium leprae	0	0	0	0	0	41	0	5	2	9	5	1	0	52	0	0	0	48	556	670	33	26	460	0	1	0	0	0	1	0	0	0	0	0	0	1	4	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Herbaspirillum|Herbaspirillum lusitanum	0	0	0	0	1	679	0	0	6	0	0	1201	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Oxalobacteraceae_u|Oxalobacteraceae_u_u	0	0	0	0	206	71	35	0	150	2	30	782	124	2	0	0	0	0	96	20	0	4	26	0	0	0	0	0	0	0	0	0	0	12	7	0	6	2
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Brucellaceae|Ochrobactrum|Ochrobactrum_u	0	0	0	0	4	1325	0	0	16	0	1	0	0	98	0	0	0	0	1	6	0	6	13	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Salmonella|Salmonella enterica	0	0	0	0	1370	1	3	0	0	4	0	0	0	1	0	1	0	4	13	29	4	5	12	1	0	0	1	1	1	0	1	0	1	0	0	0	3	1
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. Ag1	0	0	42	0	1	156	42	12	288	12	272	99	51	12	0	0	0	0	130	7	0	0	177	0	0	0	1	0	0	0	0	0	1	1	0	0	14	67
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus agalactiae	0	14	0	1308	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	41	0	0	0	0	3	1	0	3	0	5	9	0	0	0
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella|Veillonella_u	0	10	0	25	1	5	2	8	122	5	0	1	26	0	0	0	0	0	0	0	0	0	3	623	1	0	0	1	65	270	4	0	96	9	8	63	3	15
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Elizabethkingia|Elizabethkingia_u	0	0	0	0	112	10	1	0	83	0	145	827	2	0	0	0	0	0	1	3	0	1	13	0	0	0	1	0	0	15	0	0	0	1	30	1	2	62
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium_u	7	31	12	5	3	0	0	2	7	3	2	1	7	9	27	172	116	39	99	67	54	102	81	49	38	31	13	18	58	9	23	34	33	12	40	19	6	1
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Capnocytophaga|Capnocytophaga_u	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	1	0	0	0	1	66	94	58	12	425	0	9	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium|Bradyrhizobium_u	11	27	13	2	12	2	2	1	0	13	20	4	6	20	8	105	75	90	79	67	66	104	63	9	21	27	7	16	17	24	12	24	28	24	28	38	14	3
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Delftia|Delftia_u	0	0	0	1	2	10	1	1	8	2	13	7	352	1	0	0	0	0	46	223	1	9	352	0	0	1	5	1	0	0	0	0	0	3	0	0	1	14
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Pasteurellaceae_u|Pasteurellaceae_u_u	0	8	0	307	2	19	22	0	0	7	19	2	5	1	0	0	0	0	0	46	1	0	1	311	1	0	0	0	39	40	19	1	48	31	5	24	1	6
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium_u	0	0	27	0	0	1	0	0	3	0	1	0	5	0	894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Stenotrophomonas|Stenotrophomonas maltophilia	0	0	0	0	0	2	1	0	4	0	0	0	0	1	0	0	0	0	0	52	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	169	608
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus|Haemophilus parainfluenzae	1	0	0	457	1	0	5	0	0	4	2	0	1	0	0	0	0	1	0	3	0	0	0	129	0	0	0	0	0	2	35	74	87	5	1	41	2	8
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus pseudopneumoniae	249	0	0	481	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	1	0	5	1	1	1	5	1	1	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiales_u|Burkholderiales_u_u|Burkholderiales_u_u_u	0	3	2	0	69	9	2	0	45	0	15	298	21	2	2	11	12	14	61	44	13	21	57	2	1	2	2	0	11	3	13	1	4	0	8	6	1	5
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiales_u|Rhizobiales_u_u|Rhizobiales_u_u_u	4	10	5	1	20	68	3	4	7	2	20	117	39	34	3	23	32	19	40	15	15	25	90	2	1	6	1	5	7	10	5	10	8	8	63	12	6	5
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobiaceae_u|Rhizobiaceae_u_u	0	0	0	0	3	4	1	0	8	1	48	131	291	7	0	0	2	0	0	0	0	15	141	0	0	0	0	1	0	0	0	0	0	0	1	0	4	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus aureus	0	1	0	5	6	67	2	5	1	7	3	9	2	56	18	2	9	26	164	143	34	22	32	0	2	2	2	0	7	0	2	1	2	2	0	2	6	3
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella multiformis	1	0	0	312	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	21	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Solobacterium|Solobacterium moorei	0	0	0	264	0	0	0	0	1	0	0	0	0	0	0	0	82	0	0	0	3	0	0	69	124	0	0	0	15	4	17	0	2	0	0	0	0	16
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium_u	3	3	0	0	0	4	0	1	0	2	0	0	0	3	0	1	0	0	7	1	0	11	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiales_n|Aquabacterium|Aquabacterium sp. NJ1	1	7	7	1	0	0	0	0	0	0	0	0	0	0	8	49	57	40	79	88	31	43	41	2	3	1	4	6	16	22	14	11	21	5	10	20	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobiaceae_u|Bradyrhizobiaceae_u_u	3	16	14	1	1	0	1	1	0	1	4	0	2	3	7	43	52	50	38	36	37	35	38	8	10	12	3	11	16	16	7	16	19	8	34	28	0	1
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Sediminibacterium|Sediminibacterium sp. OR53	1	31	12	2	0	0	0	0	0	0	0	0	0	0	6	62	55	36	29	41	44	27	71	3	10	10	10	8	14	17	15	6	6	6	3	3	1	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_u|Clostridiales_u_u|Clostridiales_u_u_u	0	0	0	0	26	0	0	0	121	0	0	0	0	0	0	0	319	0	0	0	0	1	0	6	66	0	0	0	0	0	0	0	0	0	0	3	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium|Fusobacterium_u	0	0	0	56	0	0	6	0	8	14	0	0	0	1	0	0	77	0	0	6	27	0	0	156	14	0	0	0	4	1	18	46	17	40	0	23	24	1
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonadaceae_u|Porphyromonadaceae_u_u	0	0	0	10	23	104	2	0	11	10	0	102	8	0	1	1	0	0	0	0	0	0	0	130	0	0	0	0	4	9	0	0	71	18	0	22	0	1
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Stenotrophomonas|Stenotrophomonas_u	0	0	0	0	0	6	0	0	3	0	0	3	0	0	0	0	0	0	1	42	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	77	261
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidales_u|Bacteroidales_u_u|Bacteroidales_u_u_u	0	1	0	12	0	0	9	0	2	5	0	0	0	0	0	0	1	0	0	0	0	1	1	53	0	0	0	0	0	2	0	28	290	29	0	0	0	15
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus oralis	342	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	74	2	1	1	4	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus epidermidis	5	2	73	0	45	94	0	0	1	0	0	15	0	2	51	15	42	1	1	2	0	2	2	0	0	1	5	7	1	0	3	1	9	1	0	0	1	16
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus mitis	213	0	0	60	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	77	0	0	0	0	0	45	21	4	0	1	0	1	2	0
Bacteria|Bacteroidetes|Bacteroidetes_n|Bacteroidetes_n_n|Bacteroidetes_n_n_n|Bacteroidetes_n_n_n_n|Bacteroidetes oral taxon 274	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	28	0	0	1	31	0	5	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella nanceiensis	0	0	0	1	0	0	0	0	14	1	2	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0	1	24	0	0	9	15	0	3	0	4
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcales_u|Micrococcales_u_u|Micrococcales_u_u_u	0	0	0	0	0	0	1	2	4	0	0	85	0	0	0	0	1	0	16	68	1	12	168	0	2	6	9	0	0	0	0	0	0	1	0	0	1	4
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus|Haemophilus influenzae	0	1	0	2	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	19	106	5	0	0	61	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_u|Bacillales_u_u|Bacillales_u_u_u	0	4	21	27	2	4	2	0	0	3	0	2	6	5	3	0	0	2	8	4	7	7	46	185	0	14	5	0	0	0	0	0	3	1	0	8	1	5
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter_u	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	254	2	0	0	6	0	0	7	0	0	0	0	0	0	2	11	15	3	24	7	19	3
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Empedobacter|Empedobacter_u	0	0	11	0	0	0	3	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	4	24	147	138	5	3	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Caulobacter|Caulobacter sp. Root656	0	0	0	0	0	1	1	1	0	5	0	0	2	12	0	0	0	4	13	13	13	12	273	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas syringae	0	0	0	0	0	19	17	11	2	5	29	5	0	5	0	0	0	9	32	63	5	2	119	0	1	1	0	0	0	0	0	0	0	1	8	0	2	2
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_n|Gemella|Gemella sanguinis	0	0	0	14	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	224	1	0	0	47	0	11
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella aurantiaca	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	2	0	2	4	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillales_u|Lactobacillales_u_u|Lactobacillales_u_u_u	0	98	0	3	3	4	0	0	0	1	0	0	1	0	2	0	1	0	0	4	0	0	0	49	0	0	18	4	19	5	7	0	19	0	64	2	0	13
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Abiotrophia|Abiotrophia defectiva	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	1	6	5	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria gonorrhoeae	1	0	0	71	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	235	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Brevibacteriaceae|Brevibacterium|Brevibacterium_u	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	1	296	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella histicola	0	0	2	18	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	51	0	0	0	0	0	46	0	23	0	0	4	0	0	139
Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Marinobacter|Marinobacter_u	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	264	2	1	0	1	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus|Haemophilus sputorum	0	0	0	2	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	3	37	0	0	2	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus hominis	4	0	10	0	13	26	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	182	2	3	0	0	0	0	0	1	1	2	0	0	15
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Capnocytophaga|Capnocytophaga gingivalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	51	119	2	72	0	9	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus cereus	0	2	0	0	0	3	1	3	0	4	0	1	0	12	3	0	0	9	34	20	16	5	117	0	0	3	0	0	0	1	0	0	0	0	0	0	4	0
