Group	CTRL	CTRL	CTRL	CTRL	CTRL	OL	OL	OL	OL	OL	OL	OL	OL	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	PVL	PVL	PVL	PVL	PVL	PVL	PVL
Sample	C01	C02	C03	C04	C05	L01	L02	L03	L05	L06	L07	L08	L09	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	V01	V02	V04	V07	V08	V09	V10
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces sp. Root63	2	41	10	0	0	0	7	0	0	1	0	0	0	0	26	8	1	0	6	6	3	0	1	4	13	2	39	0	24	1	1	1	1	0	8	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Comamonadaceae_u|Comamonadaceae_u_u	2	10	0	2	1	1	0	0	7	0	2	0	1	0	2	2	0	0	3	30	0	21	12	2	1	3	0	0	59	1	8	2	5	2	0	12
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Microbacteriaceae_u|Microbacteriaceae_u_u	5	0	4	0	0	0	0	0	7	5	0	0	0	57	57	0	0	0	1	7	2	0	3	6	0	9	0	4	2	0	18	0	0	0	0	1
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus mutans	1	0	2	0	1	1	2	5	10	2	3	0	0	1	3	1	1	1	2	5	1	9	24	1	1	9	0	0	2	3	44	7	3	1	0	36
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Klebsiella|Klebsiella pneumoniae	26	26	10	5	2	1	2	0	8	0	2	0	0	1	1	26	7	1	5	3	6	0	1	4	9	3	4	4	7	3	6	3	2	1	0	0
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrionaceae_u|Desulfovibrionaceae_u_u	37	44	1	6	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	1	41	0	0
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium|Propionibacterium granulosum	14	7	7	7	3	5	5	4	4	0	3	0	1	9	17	8	2	1	6	4	2	12	7	1	6	1	3	0	0	0	12	17	3	0	0	3
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus|Ruminococcus_u	7	0	3	54	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	6	0	0	0	0	0	0	0	0	0	99	0	0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia|Rothia dentocariosa	1	2	5	45	0	0	0	0	1	5	12	0	0	0	19	0	3	0	1	0	7	0	8	8	0	21	1	0	2	3	1	0	1	2	0	14
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus epidermidis	0	0	0	0	0	1	0	0	133	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	5	0	0	0	8
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus_u	23	10	0	26	0	7	2	2	3	0	1	0	1	2	2	3	2	1	2	3	0	3	10	9	0	3	2	0	2	6	4	0	28	0	0	5
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus thermoamylovorans	1	0	2	0	0	1	1	0	5	4	6	0	0	0	0	0	0	0	0	1	0	0	4	0	1	1	0	0	13	0	8	52	3	5	0	54
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces|Actinomyces graevenitzii	1	0	0	118	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	8	16	0	5	0	1	1	4	0	0	2	1	0	0
Bacteria|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae|Peptoniphilus|Peptoniphilus_u	8	3	2	3	2	3	7	0	5	1	0	1	1	12	25	1	0	3	1	12	16	0	17	2	2	3	2	0	2	0	19	3	0	3	0	1
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Curvibacter|Curvibacter gracilis	0	2	1	2	0	4	18	0	1	0	5	0	0	3	26	12	4	0	6	57	0	0	1	2	1	0	1	0	0	0	0	3	1	0	1	3
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Curvibacter|Curvibacter_u	1	8	2	1	0	2	0	0	41	1	0	0	0	0	20	0	0	1	20	1	0	4	31	3	3	1	0	0	8	0	2	1	1	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Leucobacter|Leucobacter sp. CBX152	5	0	5	22	2	5	10	0	2	1	0	0	11	9	9	9	8	1	4	8	0	0	6	3	1	0	0	0	3	0	7	4	0	3	0	10
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas putida	0	0	1	5	0	0	3	0	15	0	0	0	0	0	0	0	3	0	0	3	1	0	0	2	68	1	1	16	0	1	0	1	0	0	27	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae|Sutterella|Sutterella_u	52	73	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	1	11	0	0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Pseudoclavibacter|Pseudoclavibacter faecalis	1	3	0	3	1	0	0	0	0	0	16	0	2	22	39	0	2	0	1	4	0	0	19	1	0	5	0	1	3	0	20	1	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Enterobacteriaceae_u|Enterobacteriaceae_u_u	6	4	0	0	0	3	0	5	41	1	0	0	0	1	1	6	1	1	10	12	0	12	7	4	1	2	0	0	1	0	7	4	0	3	1	4
Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Aeromonadaceae|Aeromonas|Aeromonas dhakensis	7	2	20	0	0	0	18	0	0	0	2	0	0	1	3	4	4	0	1	0	5	0	0	3	5	12	2	17	3	1	1	1	3	0	4	5
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Micrococcus|Micrococcus_u	1	0	0	0	0	1	0	0	95	0	0	2	1	0	0	0	0	0	2	0	0	18	0	0	3	0	0	0	0	0	2	6	3	0	0	1
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus|Haemophilus_u	1	0	0	72	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	3	0	5	0	19	0	0	1	0	4	0	1	5	0	0	0	5
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseriaceae_u|Neisseriaceae_u_u	0	1	0	60	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1	3	2	1	1	26	0	0	0	0	0	0	4	18	0	1	0	0
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium|Propionibacterium acnes	5	3	2	0	0	1	0	3	2	1	12	0	1	11	12	0	0	1	1	10	0	16	0	0	2	0	0	0	3	0	9	9	0	2	1	16
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella copri	2	0	3	1	0	0	0	0	8	0	3	0	1	0	2	0	1	0	0	2	1	3	6	0	0	0	0	0	0	0	2	0	0	87	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas mendocina	0	1	0	0	0	0	0	0	7	0	1	0	0	0	38	0	1	0	13	15	1	8	0	0	0	11	0	0	0	0	4	7	2	0	0	12
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriales_u|Fusobacteriales_u_u|Fusobacteriales_u_u_u	3	2	0	39	0	0	0	0	0	4	1	0	2	0	2	0	3	0	1	5	3	0	9	20	1	0	0	0	0	0	1	5	0	5	7	7
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Brevibacteriaceae|Brevibacterium|Brevibacterium ravenspurgense	22	0	0	2	0	0	0	0	27	4	0	0	1	5	14	0	4	0	4	0	0	1	26	1	0	1	0	0	0	0	4	0	0	0	0	2
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Candidatus Regiella|Candidatus Regiella insecticola	0	4	1	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	39	2	10	23	3	0	5	0	7	0	9	1
Bacteria|Firmicutes|Bacilli|Bacilli_u|Bacilli_u_u|Bacilli_u_u_u|Bacilli_u_u_u_u	2	1	0	21	0	1	0	0	50	1	1	0	0	1	2	0	0	0	0	0	1	1	1	10	0	1	0	0	0	0	14	5	0	2	0	2
Bacteria|Proteobacteria|Gammaproteobacteria|Gammaproteobacteria_n|Gammaproteobacteria_n_n|Gammaproteobacteria_n_n_n|endosymbiont of Tevnia jerichonana	0	0	4	0	0	1	4	0	0	0	2	0	0	0	0	0	3	0	1	1	4	1	0	0	16	27	8	12	6	1	5	0	8	1	4	0
Bacteria|Chlamydiae|Chlamydiia|Chlamydiales|Chlamydiaceae|Chlamydia|Chlamydia psittaci	1	28	0	0	0	0	1	0	3	0	34	0	0	2	1	0	2	1	6	1	1	7	0	1	1	1	0	1	14	0	1	0	1	0	1	2
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Pelomonas|Pelomonas_u	8	0	2	0	2	1	0	0	16	0	1	1	0	0	4	13	0	0	12	1	3	1	5	1	0	5	0	0	13	0	5	7	2	0	0	7
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Bilophila|Bilophila_u	17	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	7	0	3	0	0	0	0	0	0	0	0	0	0	19	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiraceae_n|Lachnospiraceae_n_u	18	18	1	0	0	1	0	0	44	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	22	0	0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Microbacterium|Microbacterium barkeri	1	0	19	0	0	0	6	0	1	0	6	0	0	0	0	0	11	0	0	1	2	0	0	1	13	12	0	11	7	0	2	0	3	0	3	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas pseudoalcaligenes	1	0	1	1	0	0	1	0	14	0	0	0	0	1	2	0	0	0	16	1	0	23	0	2	4	0	0	0	0	1	11	8	0	0	0	11
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_u|Prevotellaceae_u_u	3	1	0	35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	8	0	0	0	0	0	0	1	3	0	35	0	0
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriales_u|Propionibacteriales_u_u|Propionibacteriales_u_u_u	2	1	3	10	1	0	5	0	9	1	3	0	0	1	10	4	0	1	7	6	1	1	5	2	0	2	0	0	0	1	11	1	1	0	0	2
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelotrichaceae_u|Erysipelotrichaceae_u_u	15	17	2	11	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	11	13	0	1	6	1	1	0	0	0	0	4	0	1	1	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas aeruginosa	0	0	0	0	0	1	6	0	22	0	8	0	0	0	2	0	0	0	14	0	0	7	9	1	3	0	0	0	1	0	2	0	1	1	0	5
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. Leaf83	0	0	0	0	0	1	0	0	25	0	4	0	0	2	0	0	0	0	6	0	0	12	0	0	0	5	0	0	0	0	3	1	0	0	0	21
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas_u	2	0	1	0	0	1	0	0	41	0	0	0	0	7	0	0	0	0	5	0	0	5	0	3	0	0	0	0	0	0	6	2	0	0	0	6
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Herbaspirillum|Herbaspirillum rubrisubalbicans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	5	10	28	2	12	0	0	0	12	0	0	1
Bacteria|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae|Finegoldia|Finegoldia magna	14	3	0	3	0	4	0	0	2	0	0	0	0	4	11	11	2	0	0	1	0	0	0	3	0	2	1	2	2	0	6	0	0	3	0	4
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Dermabacteraceae|Dermabacteraceae_u|Dermabacteraceae_u_u	1	2	1	2	0	0	0	0	8	0	0	0	7	2	34	1	2	1	0	1	0	0	0	1	1	1	0	0	0	1	5	7	0	0	0	0
Bacteria|Deinococcus-Thermus|Deinococci|Thermales|Thermaceae|Thermus|Thermus_u	1	1	3	0	0	0	2	0	0	0	0	0	0	0	22	0	0	0	4	3	0	13	1	0	0	1	2	0	21	0	0	0	0	0	0	3
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiales_u|Rhizobiales_u_u|Rhizobiales_u_u_u	0	1	0	0	0	1	0	0	7	0	0	0	0	0	56	0	0	1	0	0	0	5	0	0	0	0	0	0	0	2	0	1	0	1	0	2
Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Aeromonadaceae|Aeromonas|Aeromonas_u	0	0	11	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	10	0	0	3	0	2	3	1	12	2	3	0	11	7	1	0	3	2
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Dermatophilaceae|Mobilicoccus|Mobilicoccus sp. SIT2	1	10	4	0	0	0	0	0	2	0	0	0	0	0	40	1	1	0	0	7	1	0	0	0	3	1	0	0	0	1	0	0	0	1	0	1
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus saprophyticus	0	0	0	0	0	1	1	0	21	0	4	0	0	0	29	0	0	1	0	2	0	3	0	1	0	0	0	0	0	0	2	0	0	0	0	9
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriales_u|Flavobacteriales_u_u|Flavobacteriales_u_u_u	2	8	0	13	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	2	0	2	17	0	1	0	0	0	0	5	15	1	0	0	2
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonadaceae_u|Pseudomonadaceae_u_u	4	0	2	0	0	2	0	0	24	0	4	1	0	0	0	2	0	0	5	1	0	14	2	1	0	0	0	0	0	0	2	4	1	0	0	4
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiales_n|Burkholderiales_n_n|Burkholderiales bacterium YL45	5	16	0	1	0	0	0	0	33	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	9	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Brucellaceae|Ochrobactrum|Ochrobactrum rhizosphaerae	4	2	6	0	0	0	2	0	0	0	1	1	0	20	21	0	0	0	1	0	0	0	0	2	0	3	0	1	0	0	8	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Lautropia|Lautropia mirabilis	2	1	0	36	0	0	1	0	0	0	0	0	0	0	1	3	1	0	2	0	0	0	0	4	0	5	0	1	0	0	0	0	2	3	0	4
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriia_u|Flavobacteriia_u_u|Flavobacteriia_u_u_u|Flavobacteriia_u_u_u_u	1	1	0	22	0	1	0	0	4	0	0	0	0	0	4	0	1	0	0	0	1	0	1	12	0	1	0	0	1	0	6	12	0	0	0	1
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria_u	1	0	0	18	3	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	3	22	0	0	0	0	1	0	3	2	1	0	0	5
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Dickeya|Dickeya zeae	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	9	2	2	9	0	0	0	20	0	10	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Delftia|Delftia_u	0	0	0	0	0	3	0	0	29	0	1	0	1	0	0	0	0	0	0	0	0	15	1	2	0	0	0	0	0	2	2	4	0	0	1	5
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Rhodobacteraceae_u|Rhodobacteraceae_u_u	3	6	2	3	0	2	3	0	11	0	7	0	0	3	6	0	1	0	0	2	0	4	0	1	0	1	0	0	1	0	3	2	0	0	0	3
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium kroppenstedtii	0	1	0	0	0	0	3	0	16	0	0	0	0	3	6	0	0	0	3	1	0	9	1	0	4	0	0	0	0	0	1	3	1	0	0	10
Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus faecium	2	4	0	1	0	0	7	0	0	0	2	0	0	1	1	2	5	0	2	2	1	0	0	3	0	3	8	1	1	3	1	0	1	0	5	3
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Salmonella|Salmonella enterica	13	21	0	1	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	3	2	0	1	3	6	0	2	0	1
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Nitratireductor|Nitratireductor aquibiodomus	0	0	6	0	1	0	3	0	0	0	2	0	0	0	0	1	0	1	2	0	0	0	0	2	2	0	13	2	5	0	13	0	5	0	1	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Selenomonadaceae_u|Selenomonadaceae_u_u	2	1	0	19	0	0	0	0	15	0	0	0	0	0	6	0	4	0	0	0	7	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Megamonas|Megamonas funiformis	10	12	0	23	0	0	0	0	0	0	0	0	0	0	2	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium|Oribacterium_u	0	3	0	28	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	2	0	0	10	0	0	2	0	1	0	0	1	0	0	0	0
Bacteria|Deinococcus-Thermus|Deinococci|Thermales|Thermaceae|Thermaceae_u|Thermaceae_u_u	3	0	6	1	1	0	1	0	0	0	0	3	0	0	5	4	0	3	5	16	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	2
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Arthrobacter|Arthrobacter sp. H14	0	0	0	1	0	0	0	0	9	0	26	0	9	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Mycobacteriaceae|Mycobacterium|Mycobacterium sp. Root265	5	1	1	0	0	0	3	0	1	0	1	0	0	3	0	0	1	0	9	8	0	0	0	2	0	1	2	2	4	0	2	0	4	0	0	1
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Paracoccus|Paracoccus_u	4	0	5	0	0	0	0	0	4	0	7	0	0	0	1	1	0	0	0	0	0	12	0	0	0	0	0	0	2	0	0	1	0	0	0	14
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium|Propionibacterium namnetense	4	2	2	0	1	0	0	0	16	0	1	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	12	0	3	3	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonadaceae_u|Sphingomonadaceae_u_u	0	0	0	0	0	0	2	0	6	0	1	0	0	0	0	0	0	0	6	2	1	8	1	1	14	0	0	0	0	0	4	1	0	1	0	1
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Yersinia|Yersinia pestis	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	7	0	1	2	0	0	0	1	2	4	1	3	0	0	1	0	1	0	20	1
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Empedobacter|Empedobacter falsenii	0	0	1	0	0	0	0	0	7	0	7	1	0	3	6	0	0	1	3	3	0	2	1	0	0	0	1	1	0	0	9	1	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter sp. P8-3-8	2	0	0	0	0	0	6	0	0	0	1	0	0	2	0	0	3	0	2	0	1	5	0	2	1	0	0	5	5	2	0	0	0	2	2	4
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium pyruviciproducens	6	0	0	1	0	0	0	0	9	0	0	0	0	15	4	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus|Peptostreptococcus_u	2	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	22	0	0	5	0	0	0	0	0	0	0	1	0	1	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium|[Eubacterium] eligens	2	5	1	5	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	24	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Gracilibacillus|Gracilibacillus boraciitolerans	0	0	0	8	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	4	1	11	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriia_u|Coriobacteriia_u_u|Coriobacteriia_u_u_u|Coriobacteriia_u_u_u_u	0	1	1	18	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	0	2	12	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Coriobacteriaceae_u|Coriobacteriaceae_u_u	1	0	0	9	0	0	0	0	0	0	0	0	0	0	7	1	1	0	1	1	1	0	7	2	0	0	0	0	2	0	7	1	0	3	0	0
Bacteria|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae|Parvimonas|Parvimonas_u	0	2	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	16	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Magnetospirillum|Magnetospirillum magnetotacticum	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	3	16	0	6	0	0	1	0	4	0	0	0
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Spirochaetaceae_u|Spirochaetaceae_u_u	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	13	0	16	0	2	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Brevibacteriaceae|Brevibacterium|Brevibacterium linens	0	0	0	0	0	0	5	0	1	0	0	0	0	2	5	0	2	0	0	0	0	7	2	1	3	0	0	0	1	0	9	2	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas alcaliphila	1	0	0	0	0	2	0	5	20	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Hydrogenophilales|Hydrogenophilaceae|Tepidiphilus|Tepidiphilus_u	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	15	2	0	0	6
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiraceae_n|[Eubacterium] rectale	0	2	0	6	0	0	0	0	1	2	2	0	0	5	0	0	0	0	0	0	0	8	0	1	0	0	0	0	1	0	1	1	0	7	0	0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Dermabacteraceae|Brachybacterium|Brachybacterium paraconglomeratum	0	0	2	0	2	0	0	0	18	0	0	0	1	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0	2	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio cholerae	0	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0	1	0	0	0	0	1	1	1	1	5	2	0	2	0	1	0	1	0	2	0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagales_u|Cytophagales_u_u|Cytophagales_u_u_u	0	11	0	1	0	1	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	1	3	0	1	0	2	0	0	4	0	1	0	1	1
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Psychrobacter|Psychrobacter_u	2	1	5	0	0	0	1	0	0	0	13	1	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	3
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae|Methylobacterium|Methylobacterium_u	0	0	0	3	0	2	0	0	24	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Achromobacter|Achromobacter sp. Root565	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	3	9	3	0	8	0	0	0	1	0	2	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces|Actinomyces sp. oral taxon 414	2	0	4	1	0	1	0	0	0	0	1	0	0	0	0	4	2	0	0	0	0	0	0	16	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella|Alloprevotella tannerae	4	2	0	7	0	0	0	0	1	0	0	0	0	3	0	0	6	0	0	1	0	3	0	3	0	0	0	0	2	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Hymenobacteraceae|Hymenobacter|Hymenobacter_u	0	0	6	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	8	1	0	1	2	2	0	0	1	2	0	2	0	0	0	0	1
