Group	CTRL	CTRL	CTRL	CTRL	CTRL	OL	OL	OL	OL	OL	OL	OL	OL	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	OSCC	PVL	PVL	PVL	PVL	PVL	PVL	PVL
Sample	C01	C02	C03	C04	C05	L01	L02	L03	L05	L06	L07	L08	L09	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	V01	V02	V04	V07	V08	V09	V10
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_u|Clostridiales_u_u|Clostridiales_u_u_u	246	307	11	469	7	6	6	4	659	5	5	0	3	21	30	7	2	5	8	27	1	32	114	83	8	9	2	2	20	7	47	10	16	1293	0	13
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces|Actinomyces_u	27	42	25	1314	2	4	10	0	11	2	702	2	8	14	174	22	38	2	21	7	1	16	66	643	38	13	10	5	9	10	30	17	5	25	0	13
Bacteria|Firmicutes|Negativicutes|Negativicutes_u|Negativicutes_u_u|Negativicutes_u_u_u|Negativicutes_u_u_u_u	26	47	3	1089	0	0	1	0	15	1	7	0	0	1	3	0	1	3	3	0	2	0	3	33	0	0	0	0	3	13	38	1	37	1668	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidales_u|Bacteroidales_u_u|Bacteroidales_u_u_u	585	534	14	571	1	2	4	1	16	1	6	0	0	10	7	2	6	0	7	9	4	39	56	188	4	1	4	0	27	1	19	6	23	658	2	7
Bacteria|Bacteroidetes|Bacteroidetes_u|Bacteroidetes_u_u|Bacteroidetes_u_u_u|Bacteroidetes_u_u_u_u|Bacteroidetes_u_u_u_u_u	258	366	3	595	2	6	7	0	17	2	20	2	2	16	79	11	5	3	10	75	8	2	36	202	19	3	3	2	4	0	63	157	13	331	0	16
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcales_u|Micrococcales_u_u|Micrococcales_u_u_u	40	23	43	72	19	7	3	0	942	11	58	4	17	148	186	11	8	6	16	18	9	4	44	15	4	39	0	5	17	0	102	13	4	5	0	5
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella|Veillonella_u	107	258	5	985	0	5	0	0	9	2	10	0	2	2	29	6	1	0	2	6	0	8	9	179	4	2	2	4	33	24	89	5	15	9	0	5
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacteriaceae_u|Propionibacteriaceae_u_u	44	54	71	9	14	26	39	0	49	12	83	4	10	118	461	102	23	19	47	126	21	3	106	15	32	26	1	4	13	3	103	35	3	7	4	99
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonadaceae_u|Porphyromonadaceae_u_u	49	23	1	1284	0	0	0	0	3	4	0	0	0	0	1	1	1	2	1	0	1	1	1	214	4	0	0	0	18	0	51	10	8	61	1	3
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Mycobacteriaceae|Mycobacterium|Mycobacterium_u	76	27	23	7	5	22	8	1	461	15	56	7	1	3	83	101	4	11	99	173	7	94	75	24	27	17	1	2	5	7	58	30	19	3	0	48
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus_u	8	1	0	1	1	14	5	21	1200	1	36	2	0	4	14	1	1	0	11	13	1	44	26	3	3	1	0	0	9	0	8	34	1	1	1	41
Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio parahaemolyticus	0	9	13	0	0	0	11	1	1	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	24	2	998	7	62	0	255	0	44	0	27	1
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus_u	9	6	2	76	0	4	6	12	78	0	0	0	0	4	26	1	0	7	15	13	5	45	16	56	8	7	0	1	14	2	871	11	1	0	0	36
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_u|Bacillales_u_u|Bacillales_u_u_u	2	9	2	845	1	3	5	0	49	2	8	0	0	3	5	0	0	0	7	11	14	1	3	216	1	3	2	0	1	2	82	2	2	7	1	16
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella_u	31	18	2	355	0	0	1	0	7	1	0	0	1	1	17	0	16	1	13	7	14	1	15	285	1	3	1	0	37	3	22	3	5	416	0	6
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Escherichia|Escherichia coli	7	31	6	12	23	0	24	0	4	0	0	0	0	1	38	2	42	70	16	1	13	0	5	52	127	29	294	125	118	24	28	1	2	2	28	2
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia|Rothia mucilaginosa	6	3	4	486	6	1	1	0	9	5	30	0	0	3	109	0	0	0	11	96	7	4	31	66	1	4	0	0	2	4	137	16	12	30	0	5
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas|Porphyromonas_u	15	4	0	468	0	1	0	2	1	0	2	0	1	3	10	0	0	0	2	4	3	0	2	368	2	0	9	0	0	1	57	3	4	11	0	1
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriales_u|Corynebacteriales_u_u|Corynebacteriales_u_u_u	39	19	13	16	7	7	9	0	144	1	77	1	2	85	134	26	4	25	23	24	25	3	58	65	12	23	1	3	23	0	40	26	0	2	0	17
Bacteria|Proteobacteria|Gammaproteobacteria|Gammaproteobacteria_u|Gammaproteobacteria_u_u|Gammaproteobacteria_u_u_u|Gammaproteobacteria_u_u_u_u	10	39	10	127	1	12	10	2	64	5	50	2	0	7	96	8	8	3	39	40	39	64	10	98	8	24	4	2	5	2	35	27	18	13	3	19
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriales_n|Lawsonella|Lawsonella clevelandensis	38	36	8	11	2	10	12	1	71	4	57	0	10	33	261	1	0	2	24	45	18	28	66	0	10	65	0	1	5	1	36	6	6	17	0	14
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcaceae_u|Ruminococcaceae_u_u	18	25	1	87	1	0	1	0	1	3	6	0	1	3	2	2	0	4	2	7	0	0	5	10	0	1	0	0	5	0	13	3	2	665	0	0
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium afermentans	4	0	0	0	0	0	0	0	807	0	7	0	0	1	1	0	2	0	1	0	0	0	0	1	1	2	1	0	0	0	3	5	3	0	0	0
Bacteria|Deinococcus-Thermus|Deinococci|Deinococcales|Deinococcaceae|Deinococcus|Deinococcus_u	6	10	11	3	21	0	1	0	5	0	0	0	1	9	680	5	0	1	0	4	0	0	6	2	2	1	0	0	2	0	2	2	0	1	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Betaproteobacteria_u|Betaproteobacteria_u_u|Betaproteobacteria_u_u_u|Betaproteobacteria_u_u_u_u	23	14	20	23	2	15	30	0	40	4	13	5	2	18	75	142	10	1	35	32	5	4	45	10	4	5	2	0	8	0	11	31	5	113	1	12
Bacteria|Firmicutes|Clostridia|Clostridia_u|Clostridia_u_u|Clostridia_u_u_u|Clostridia_u_u_u_u	29	42	3	57	0	0	0	0	6	0	5	0	0	9	14	2	0	5	1	0	0	2	17	6	0	2	0	0	1	1	13	2	8	513	0	1
